Symbol,Signal Date,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,Equity at Entry,Allocation %,Allocation (INR),Invested (INR),Shares,Return %,PnL,Cumulative PnL,Equity,Peak Equity,Drawdown %
CHENNPETRO.NS,2026-02-27,2026-03-02,930.0,2026-03-12,883.5,Stop Loss,500000.0,10.0,50000.0,49290.0,53,-5.0,-2464.5,-2464.5,497535.5,497535.5,0.0
NETWEB.NS,2026-02-27,2026-03-02,3716.0,2026-03-04,3530.2,Stop Loss,497535.5,10.0,49753.55,48308.0,13,-5.0,-2415.4,-4879.9,495120.1,497535.5,-0.485472895903915
PETRONET.NS,2026-02-27,2026-03-02,315.0,2026-03-04,299.25,Stop Loss,495120.1,10.0,49512.01,49455.0,157,-5.0,-2472.75,-7352.65,492647.35,497535.5,-0.9824726074822848
POLYCAB.NS,2026-02-27,2026-03-02,8400.0,2026-03-10,7980.0,Stop Loss,492647.35,10.0,49264.74,42000.0,5,-5.0,-2100.0,-9452.65,490547.35,497535.5,-1.4045530419437453
SAILIFE.NS,2026-02-27,2026-03-02,992.5,2026-03-13,942.88,Stop Loss,490547.35,10.0,49054.74,48632.5,49,-5.0,-2431.62,-11884.27,488115.73,497535.5,-1.8932860067271617
CHENNPETRO.NS,2026-03-04,2026-03-05,1019.0,2026-03-09,968.05,Stop Loss,488115.73,10.0,48811.57,47893.0,47,-5.0,-2394.65,-14278.92,485721.08,497535.5,-2.37458834595722
COALINDIA.NS,2026-03-05,2026-03-06,451.15,2026-04-10,428.59,Stop Loss,485721.08,10.0,48572.11,48273.05,107,-5.0,-2413.65,-16692.57,483307.43,497535.5,-2.8597095081657504
GESHIP.NS,2026-03-05,2026-03-06,1395.6,2026-04-13,1325.82,Stop Loss,483307.43,10.0,48330.74,47450.4,34,-5.0,-2372.52,-19065.09,480934.91,497535.5,-3.3365639235793276
KTKBANK.NS,2026-03-05,2026-03-06,215.0,2026-03-09,204.25,Stop Loss,480934.91,10.0,48093.49,47945.0,223,-5.0,-2397.25,-21462.34,478537.66,497535.5,-3.8183888385853924
NATIONALUM.NS,2026-03-05,2026-03-06,392.0,2026-03-16,372.4,Stop Loss,478537.66,10.0,47853.77,47824.0,122,-5.0,-2391.2,-23853.54,476146.46,497535.5,-4.298997759958833
BEL.NS,2026-03-06,2026-03-09,470.0,2026-03-13,446.5,Stop Loss,476146.46,10.0,47614.65,47470.0,101,-5.0,-2373.5,-26227.04,473772.96,497535.5,-4.776049146241822
KIRLOSENG.NS,2026-03-06,2026-03-09,1515.0,2026-03-09,1439.25,Stop Loss,473772.96,10.0,47377.3,46965.0,31,-5.0,-2348.25,-28575.29,471424.71,497535.5,-5.248025517777119
