Symbol,Signal Date,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,Return %,Equity at Entry,Shares,PnL,Return on position %
A2ZINFRA.NS,2024-10-10,2024-10-11,19.63,2024-10-16,18.21,RSI cross down,-7.23,500000.0,2547,-3616.74,-7.23
ABREL.NS,2024-10-15,2024-10-16,2910.0,2024-10-23,2737.5,RSI cross down,-5.93,496383.26,17,-2932.5,-5.93
ABMINTLLTD.NS,2024-10-17,2024-10-18,67.8,2024-11-11,69.87,RSI cross down,3.05,493450.76,727,1504.89,3.05
3MINDIA.NS,2024-10-31,2024-11-01,36130.1484,2024-11-06,35300.0,RSI cross down,-2.3,494955.65,1,-830.15,-2.3
ABBOTINDIA.NS,2024-11-01,2024-11-04,29150.0,2024-11-07,29185.1992,RSI cross down,0.12,494125.5016,1,35.2,0.12
3PLAND.NS,2024-11-04,2024-11-05,42.2,2024-12-24,64.8,RSI cross down,53.55,494160.7008,1170,26442.0,53.55
3IINFOLTD.NS,2024-11-06,2024-11-07,29.7,2024-11-11,28.39,RSI cross down,-4.41,520602.7008,1752,-2295.12,-4.41
A2ZINFRA.NS,2024-11-06,2024-11-07,18.68,2024-11-12,18.6,RSI cross down,-0.43,518307.5808,2774,-221.92,-0.43
AARTIPHARM.NS,2024-11-12,2024-11-13,652.0,2024-11-19,649.0,RSI cross down,-0.46,518085.6608,79,-237.0,-0.46
ABMINTLLTD.NS,2024-11-18,2024-11-19,80.0,2024-11-21,69.61,RSI cross down,-12.99,517848.6608,647,-6722.33,-12.99
AARTECH.NS,2024-11-19,2024-11-21,68.81,2025-01-13,81.75,CE SELL,18.81,511126.3308,742,9601.48,18.81
ABB.NS,2024-11-27,2024-11-28,7520.0,2024-12-20,7359.7998,RSI cross down,-2.13,520727.8108,6,-961.2,-2.13
360ONE.NS,2024-11-27,2024-11-28,1140.0,2024-11-29,1123.15,RSI cross down,-1.48,519766.60959999997,45,-758.25,-1.48
3IINFOLTD.NS,2024-11-28,2024-11-29,29.25,2024-12-23,29.59,CE SELL,1.16,519008.35959999997,1774,603.16,1.16
ABDL.NS,2024-11-29,2024-12-02,338.5,2025-01-14,389.0,RSI cross down,14.92,519611.5196,153,7726.5,14.92
ABFRL.NS,2024-12-02,2024-12-03,319.0,2024-12-04,319.95,RSI cross down,0.3,527338.0196,165,156.75,0.3
360ONE.NS,2024-12-02,2024-12-03,1150.0,2024-12-05,1129.0,RSI cross down,-1.83,527494.7696,45,-945.0,-1.83
AAREYDRUGS.NS,2024-12-03,2024-12-04,64.9,2024-12-06,62.0,RSI cross down,-4.47,526549.7696,811,-2351.9,-4.47
ABBOTINDIA.NS,2024-12-04,2024-12-05,28709.0,2024-12-13,28505.0,RSI cross down,-0.71,524197.8696,1,-204.0,-0.71
ABAN.NS,2024-12-06,2024-12-09,69.01,2024-12-16,67.1,RSI cross down,-2.77,523993.8696,759,-1449.69,-2.77
360ONE.NS,2024-12-10,2024-12-11,1202.7,2025-01-08,1195.0,RSI cross down,-0.64,522544.1796,43,-331.1,-0.64
ABCAPITAL.NS,2024-12-11,2024-12-12,202.7,2024-12-13,197.5,RSI cross down,-2.57,522213.0796,257,-1336.4,-2.57
ABBOTINDIA.NS,2024-12-19,2024-12-20,28927.0,2024-12-23,28603.0,RSI cross down,-1.12,520876.6796,1,-324.0,-1.12
AARTIDRUGS.NS,2024-12-24,2024-12-26,469.9,2024-12-27,456.0,RSI cross down,-2.96,520552.6796,110,-1529.0,-2.96
AARTIPHARM.NS,2024-12-26,2024-12-27,647.0,2025-01-23,638.9,RSI cross down,-1.25,519023.6796,80,-648.0,-1.25
ABBOTINDIA.NS,2024-12-27,2024-12-30,29150.0,2025-01-13,28613.0,RSI cross down,-1.84,518375.6796,1,-537.0,-1.84
AARON.NS,2025-01-01,2025-01-02,189.975,2025-01-09,183.55,RSI cross down,-3.38,517838.6796,272,-1747.6,-3.38
3IINFOLTD.NS,2025-01-01,2025-01-02,34.57,2025-01-07,29.94,CE SELL,-13.39,516091.0796,1492,-6907.96,-13.39
20MICRONS.NS,2025-01-03,2025-01-06,261.0,2025-01-07,242.0,RSI cross down,-7.28,509183.1196,195,-3705.0,-7.28
ABDL.NS,2025-01-15,2025-01-16,413.3,2025-01-22,401.0,RSI cross down,-2.98,505478.1196,122,-1500.6,-2.98
AARTIIND.NS,2025-01-15,2025-01-16,433.0,2025-01-28,418.85,CE SELL,-3.27,503977.5196,116,-1641.4,-3.27
AAKASH.NS,2025-01-20,2025-01-21,11.35,2025-01-27,10.59,RSI cross down,-6.7,502336.1196,4425,-3363.0,-6.7
3IINFOLTD.NS,2025-01-30,2025-01-31,29.48,2025-02-01,28.58,CE SELL,-3.05,498973.1196,1692,-1522.8,-3.05
AAVAS.NS,2025-01-30,2025-01-31,1723.8,2025-02-03,1688.0,RSI cross down,-2.08,497450.3196,28,-1002.4,-2.08
ABCAPITAL.NS,2025-01-31,2025-02-01,180.6,2025-02-03,175.8,RSI cross down,-2.66,496447.91959999996,274,-1315.2,-2.66
ABMINTLLTD.NS,2025-02-03,2025-02-04,67.2,2025-02-07,63.37,RSI cross down,-5.7,495132.71959999995,736,-2818.88,-5.7
ABREL.NS,2025-02-05,2025-02-06,2288.0,2025-02-10,2250.3999,RSI cross down,-1.64,492313.83959999995,21,-789.6,-1.64
AARON.NS,2025-02-06,2025-02-07,192.35,2025-02-11,176.6,RSI cross down,-8.19,491524.23749999993,255,-4016.25,-8.19
ABBOTINDIA.NS,2025-02-06,2025-02-07,28980.0,2025-02-17,27921.8496,RSI cross down,-3.65,487507.98749999993,1,-1058.15,-3.65
