Symbol,Signal Date,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,Return %,Equity at Entry,Shares,PnL,Return on position %
A2ZINFRA.NS,2024-10-15,2024-10-16,18.21,2024-10-17,19.54,CE BUY,-7.3,500000.0,2745,-3650.85,-7.3
AARTISURF.NS,2024-10-18,2024-10-21,760.2,2025-02-10,612.0,RSI cross up,19.49,496349.15,65,9633.0,19.49
5PAISA.NS,2024-10-21,2024-10-22,512.55,2024-12-04,498.35,RSI cross up,2.77,505982.15,98,1391.6,2.77
AARON.NS,2024-10-21,2024-10-22,132.575,2024-11-01,133.075,RSI cross up,-0.38,507373.75,382,-191.0,-0.38
AAATECH.NS,2024-10-21,2024-10-22,127.5,2024-11-08,125.15,RSI cross up,1.84,507182.75,397,932.95,1.84
ABREL.NS,2024-10-22,2024-10-23,2737.5,2024-11-07,2914.25,RSI cross up,-6.46,508115.7,18,-3181.5,-6.46
ABB.NS,2024-10-23,2024-10-24,7775.0,2024-11-28,7520.0,RSI cross up,3.28,504934.2,6,1530.0,3.28
AARVI.NS,2024-10-24,2024-10-25,144.0,2024-10-29,147.3,RSI cross up,-2.29,506464.2,351,-1158.3,-2.29
AARVI.NS,2024-11-11,2024-11-12,144.41,2024-12-03,143.0,RSI cross up,0.98,505305.9,349,492.09,0.98
AARTIPHARM.NS,2024-11-25,2024-11-26,635.75,2024-12-03,659.35,RSI cross up,-3.71,505797.99000000005,79,-1864.4,-3.71
ABMINTLLTD.NS,2024-12-03,2024-12-04,70.87,2024-12-16,73.72,RSI cross up,-4.02,503933.59,711,-2026.35,-4.02
AARTIPHARM.NS,2024-12-05,2024-12-06,642.1,2024-12-27,647.0,RSI cross up,-0.76,501907.24000000005,78,-382.2,-0.76
5PAISA.NS,2024-12-12,2024-12-13,495.0,2025-03-24,355.8,RSI cross up,28.12,501525.04000000004,101,14059.2,28.12
ABMINTLLTD.NS,2024-12-18,2024-12-19,69.34,2025-02-04,67.2,RSI cross up,3.09,515584.24000000005,743,1590.02,3.09
AARTIDRUGS.NS,2024-12-26,2024-12-27,456.0,2025-01-07,462.95,RSI cross up,-1.52,517174.26000000007,113,-785.35,-1.52
3IINFOLTD.NS,2024-12-27,2024-12-30,28.45,2025-01-02,34.57,RSI cross up,-21.51,516388.9100000001,1815,-11107.8,-21.51
AAVAS.NS,2025-01-06,2025-01-07,1698.0,2025-01-08,1699.45,RSI cross up,-0.09,505281.1100000001,29,-42.05,-0.09
ABBOTINDIA.NS,2025-01-10,2025-01-13,28613.0,2025-02-06,27998.8008,CE BUY,2.15,505239.0600000001,1,614.2,2.15
3IINFOLTD.NS,2025-01-10,2025-01-13,27.5,2025-01-17,28.39,RSI cross up,-3.24,505853.2592000001,1839,-1636.71,-3.24
A2ZINFRA.NS,2025-01-10,2025-01-13,22.25,2025-01-16,23.74,RSI cross up,-6.7,504216.5492,2266,-3376.34,-6.7
ABDL.NS,2025-01-13,2025-01-14,389.0,2025-01-16,413.3,RSI cross up,-6.25,500840.20920000004,128,-3110.4,-6.25
AARTECH.NS,2025-01-13,2025-01-14,77.66,2025-04-17,61.7,RSI cross up,20.55,497729.8092,640,10214.4,20.55
A2ZINFRA.NS,2025-01-17,2025-01-20,22.51,2025-05-22,17.03,RSI cross up,24.34,507944.20920000004,2256,12362.88,24.34
3IINFOLTD.NS,2025-01-21,2025-01-22,27.85,2025-01-31,29.48,RSI cross up,-5.85,520307.08920000005,1868,-3044.84,-5.85
ABDL.NS,2025-01-21,2025-01-22,401.0,2025-01-24,409.9,RSI cross up,-2.22,517262.2492,128,-1139.2,-2.22
AARON.NS,2025-01-22,2025-01-23,181.425,2025-02-07,192.35,RSI cross up,-6.02,516123.0492,284,-3102.7,-6.02
AARTIIND.NS,2025-01-28,2025-01-29,412.0,2025-01-30,431.8,RSI cross up,-4.81,513020.3492,124,-2455.2,-4.81
ABFRL.NS,2025-02-05,2025-02-06,284.35,2025-03-26,255.4,RSI cross up,10.18,510565.1492,179,5182.05,10.18
3IINFOLTD.NS,2025-02-12,2025-02-13,27.05,2025-04-22,23.73,RSI cross up,12.27,515747.1992,1906,6327.92,12.27
AARTIIND.NS,2025-02-14,2025-02-17,409.35,2025-02-21,421.0,RSI cross up,-2.85,522075.11919999996,127,-1479.55,-2.85
AARTIIND.NS,2025-03-10,2025-03-11,391.5,2025-03-20,405.0,RSI cross up,-3.45,520595.56919999997,132,-1782.0,-3.45
ABCAPITAL.NS,2025-03-10,2025-03-11,157.31,2025-03-13,163.61,RSI cross up,-4.0,518813.56919999997,329,-2072.7,-4.0
AARTIPHARM.NS,2025-04-04,2025-04-07,585.0,2025-04-16,719.8,CE BUY,-23.04,516740.86919999996,88,-11862.4,-23.04
ABB.NS,2025-04-04,2025-04-07,4684.4502,2025-04-16,5280.0,RSI cross up,-12.71,504878.46919999993,10,-5955.5,-12.71
AARTIIND.NS,2025-04-04,2025-04-07,357.55,2025-04-15,387.9,RSI cross up,-8.49,498922.9711999999,139,-4218.65,-8.49
AAATECH.NS,2025-04-07,2025-04-08,80.0,2025-04-22,78.99,RSI cross up,1.26,494704.3211999999,618,624.18,1.26
AAATECH.NS,2025-04-29,2025-04-30,77.99,2025-05-02,77.04,RSI cross up,1.22,495328.5011999999,635,603.25,1.22
3IINFOLTD.NS,2025-05-08,2025-05-09,21.88,2025-05-12,23.0,RSI cross up,-5.12,495931.7511999999,2266,-2537.92,-5.12
ABMINTLLTD.NS,2025-05-13,2025-05-14,50.9,2025-05-15,50.35,RSI cross up,1.08,493393.8311999999,969,532.95,1.08
AARTECH.NS,2025-05-22,2025-05-23,52.81,2025-05-26,60.2,RSI cross up,-13.99,493926.7811999999,935,-6909.65,-13.99
