Symbol,Signal Date,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,Return %,Equity at Entry,Shares,PnL,Return on position %
JINDALSTEL.NS,2024-10-10,2024-10-11,989.0,2024-10-14,1006.05,RSI cross up,-1.72,500000.0,50,-852.5,-1.72
FORCEMOT.NS,2024-10-10,2024-10-11,7050.0,2024-10-31,7902.0,RSI cross up,-12.09,499147.5,7,-5964.0,-12.09
VADILALIND.NS,2024-10-10,2024-10-11,3899.1001,2024-10-14,4068.0,RSI cross up,-4.33,493183.5,12,-2026.8,-4.33
SUPREMEIND.NS,2024-10-10,2024-10-11,5345.0,2024-12-03,4821.5498,RSI cross up,9.79,491156.7012,9,4711.05,9.79
MANYAVAR.NS,2024-10-10,2024-10-11,1295.95,2024-10-16,1326.0,RSI cross up,-2.32,495867.753,38,-1141.9,-2.32
BANCOINDIA.NS,2024-10-10,2024-10-11,359.975,2024-10-16,369.675,RSI cross up,-2.69,494725.853,137,-1328.9,-2.69
GILLETTE.NS,2024-10-10,2024-10-11,8966.5996,2024-10-14,9072.8496,RSI cross up,-1.18,493396.953,5,-531.25,-1.18
REPL.NS,2024-10-10,2024-10-11,195.4,2024-10-16,210.45,RSI cross up,-7.7,492865.703,252,-3792.6,-7.7
PGHH.NS,2024-10-10,2024-10-11,16792.6992,2025-03-24,13859.7998,RSI cross up,17.47,489073.103,2,5865.8,17.47
BLUEDART.NS,2024-10-10,2024-10-11,8575.0,2025-02-10,6845.0,RSI cross up,20.17,494938.9018,5,8650.0,20.17
CELLO.NS,2024-10-11,2024-10-14,894.0,2024-10-15,895.0,RSI cross up,-0.11,503588.9018,56,-56.0,-0.11
EQUIPPP.NS,2024-10-11,2024-10-14,21.0,2024-10-15,21.11,RSI cross up,-0.52,503532.9018,2397,-263.67,-0.52
DCAL.NS,2024-10-11,2024-10-14,182.77,2024-10-17,188.65,RSI cross up,-3.22,503269.2318,275,-1617.0,-3.22
EMMBI.NS,2024-10-11,2024-10-14,135.0,2024-11-01,143.8,RSI cross up,-6.52,501652.2318,371,-3264.8,-6.52
MEDANTA.NS,2024-10-11,2024-10-14,1044.0,2024-10-15,1060.0,RSI cross up,-1.53,498387.4318,47,-752.0,-1.53
GEEKAYWIRE.NS,2024-10-11,2024-10-14,55.695,2024-12-03,51.5,RSI cross up,7.53,497635.4318,893,3746.14,7.53
EUROTEXIND.NS,2024-10-11,2024-10-14,15.22,2024-11-13,12.91,CE BUY,15.18,501381.56680000003,3294,7609.14,15.18
PKTEA.NS,2024-10-11,2024-10-14,504.8,2024-10-31,540.0,RSI cross up,-6.97,508990.70680000004,100,-3520.0,-6.97
HITECHGEAR.NS,2024-10-11,2024-10-14,878.9,2024-11-06,828.55,RSI cross up,5.73,505470.70680000004,57,2869.95,5.73
SDBL.NS,2024-10-11,2024-10-14,111.4,2024-11-06,106.06,RSI cross up,4.79,508340.65680000006,456,2435.04,4.79
ATAM.NS,2024-10-14,2024-10-15,149.7,2024-10-21,151.0,RSI cross up,-0.87,510775.69680000003,341,-443.3,-0.87
TATAELXSI.NS,2024-10-14,2024-10-15,7575.0,2024-12-04,7124.25,RSI cross up,5.95,510332.39680000005,6,2704.5,5.95
EMIL.NS,2024-10-14,2024-10-15,216.4,2024-10-16,221.89,RSI cross up,-2.54,513036.89680000005,237,-1301.13,-2.54
ARVEE.NS,2024-10-14,2024-10-15,178.0,2024-10-16,182.54,RSI cross up,-2.55,511735.76680000004,287,-1302.98,-2.55
EXPLEOSOL.NS,2024-10-14,2024-10-15,1285.45,2024-11-19,1327.3,RSI cross up,-3.26,510432.78680000006,39,-1632.15,-3.26
BIOFILCHEM.NS,2024-10-14,2024-10-15,72.11,2024-10-16,77.99,RSI cross up,-8.15,508800.63680000004,705,-4145.4,-8.15
BSHSL.NS,2024-10-14,2024-10-15,174.92,2024-11-04,171.85,RSI cross up,1.76,504655.2368,288,884.16,1.76
LAXMICOT.NS,2024-10-14,2024-10-15,36.14,2024-12-06,33.5,RSI cross up,7.3,505539.3968,1398,3690.72,7.3
NUCLEUS.NS,2024-10-14,2024-10-15,1295.15,2025-01-06,1150.0,RSI cross up,11.21,509230.11679999996,39,5660.85,11.21
HEADSUP.NS,2024-10-14,2024-10-15,13.98,2024-10-17,14.07,RSI cross up,-0.64,514890.96679999994,3683,-331.47,-0.64
RIIL.NS,2024-10-15,2024-10-16,1202.2,2024-10-17,1225.0,RSI cross up,-1.9,514559.49679999996,42,-957.6,-1.9
